flow_duration,total_fwd_packets,total_bwd_packets,total_fwd_bytes,total_bwd_bytes,avg_packet_size,packet_rate,byte_rate,syn_count,fin_count,rst_count,psh_count,ack_count,unique_dst_ports,inter_arrival_time_mean,fwd_packet_rate,bwd_packet_rate,fwd_byte_rate,bwd_byte_rate,packet_length_mean,Label
4.710919,8.0,6.0,20.0,11595.0,829.6428571,2.971819299,2465.548654,2.0,1.0,1.0,2.0,13.0,1.0,362378.3846,1.698182457,1.273636842,4.245456141360104,2461.3031979535203,829.6428571,DDoS
5.024684,8.0,6.0,20.0,11595.0,829.6428571,2.786244866,2311.588152,2.0,1.0,1.0,2.0,13.0,1.0,386514.1538,1.592139924,1.194104943,3.98034980906262,2307.607801804054,829.6428571,DDoS
0.150965,8.0,7.0,343.0,11595.0,795.8666667,99.36077899,79077.93197,2.0,1.0,2.0,2.0,13.0,1.0,10783.21429,52.99241546,46.36836353,2272.049812870533,76805.88215811613,795.8666667,DDoS
0.164986,7.0,7.0,320.0,11595.0,851.0714286,84.85568472,72218.24882,2.0,1.0,2.0,2.0,12.0,1.0,12691.23077,42.42784236,42.42784236,1939.5585079946177,70278.69031311748,851.0714286,DDoS
0.066978,7.0,7.0,355.0,11595.0,853.5714286,209.0238586,178416.7936,2.0,2.0,2.0,2.0,11.0,1.0,5152.153846,104.5119293,104.5119293,5300.247842575174,173116.54573143422,853.5714286,DDoS
0.010038,6.0,6.0,373.0,11595.0,997.3333333,1195.457262,1192269.376,2.0,1.0,1.0,2.0,11.0,1.0,912.5454545,597.7286312,597.7286312,37158.79657302251,1155110.5797967722,997.3333333,DDoS
0.171,8.0,7.0,335.0,11595.0,795.3333333,87.71929825,69766.08187,2.0,2.0,3.0,2.0,11.0,1.0,12214.28571,46.78362573,40.93567251,1959.06432748538,67807.01754385965,795.3333333,DDoS
0.030028,8.0,8.0,313.0,11606.0,744.9375,532.8360197,396929.5324,2.0,3.0,3.0,3.0,12.0,1.0,2001.866667,266.4180099,266.4180099,10423.604635673371,386505.92780071934,744.9375,DDoS
9.9e-05,2.0,2.0,0.0,0.0,0.0,40404.0404,0.0,2.0,0.0,2.0,0.0,2.0,1.0,33.0,20202.0202,20202.0202,0.0,0.0,0.0,PortScan
0.000792,2.0,1.0,0.0,0.0,0.0,3787.878788,0.0,2.0,0.0,1.0,0.0,1.0,1.0,396.0,2525.252525,1262.626263,0.0,0.0,0.0,PortScan
8.2e-05,2.0,2.0,0.0,0.0,0.0,48780.4878,0.0,2.0,0.0,2.0,0.0,2.0,1.0,27.33333333,24390.2439,24390.2439,0.0,0.0,0.0,PortScan
6.8e-05,2.0,2.0,0.0,0.0,0.0,58823.52941,0.0,2.0,0.0,2.0,0.0,2.0,1.0,22.66666667,29411.76471,29411.76471,0.0,0.0,0.0,PortScan
0.000106,2.0,2.0,0.0,0.0,0.0,37735.84906,0.0,2.0,0.0,2.0,0.0,2.0,1.0,35.33333333,18867.92453,18867.92453,0.0,0.0,0.0,PortScan
9.5e-05,2.0,2.0,0.0,0.0,0.0,42105.26316,0.0,2.0,0.0,2.0,0.0,2.0,1.0,31.66666667,21052.63158,21052.63158,0.0,0.0,0.0,PortScan
0.000109,2.0,2.0,0.0,0.0,0.0,36697.24771,0.0,2.0,0.0,2.0,0.0,2.0,1.0,36.33333333,18348.62385,18348.62385,0.0,0.0,0.0,PortScan
0.000106,2.0,2.0,0.0,0.0,0.0,37735.84906,0.0,2.0,0.0,2.0,0.0,2.0,1.0,35.33333333,18867.92453,18867.92453,0.0,0.0,0.0,PortScan
12.252068,24.0,34.0,2024.0,2745.0,82.22413793,4.733894719,389.2404123,2.0,2.0,0.0,31.0,57.0,1.0,214948.5614,1.958852987,2.775041732,165.19660191242818,224.0438104000076,82.22413793,BruteForce
8.515177,11.0,17.0,109.0,188.0,10.60714286,3.288246386,34.87889917,2.0,2.0,2.0,14.0,25.0,1.0,315376.9259,1.29181108,1.996435306,12.80067343285994,22.07822573740981,10.60714286,BruteForce
8.702086,11.0,17.0,126.0,188.0,11.21428571,3.217619316,36.08330233,2.0,2.0,2.0,14.0,25.0,1.0,322299.4815,1.264064731,1.953554584,14.479286920400464,21.604015405041963,11.21428571,BruteForce
8.699984,11.0,17.0,118.0,188.0,10.92857143,3.218396723,35.17247848,2.0,2.0,2.0,14.0,25.0,1.0,322221.6296,1.264370141,1.954026582,13.563243334700385,21.609235143420957,10.92857143,BruteForce
8.344026,11.0,17.0,120.0,188.0,11.0,3.355694242,36.91263666,2.0,2.0,2.0,14.0,25.0,1.0,309038.0,1.318308452,2.03738579,14.38154674973448,22.531089907917355,11.0,BruteForce
11.042725,20.0,32.0,2008.0,2745.0,91.40384615,4.708982611,430.4191221,2.0,2.0,0.0,31.0,51.0,1.0,216524.0196,1.811147158,2.897835453,181.8391746602401,248.5799474314537,91.40384615,BruteForce
9.184576,11.0,17.0,116.0,188.0,10.85714286,3.048589287,33.0989694,2.0,2.0,2.0,14.0,25.0,1.0,340169.4815,1.197660077,1.85092921,12.629869903629736,20.469099498986125,10.85714286,BruteForce
11.476954,22.0,33.0,2008.0,2745.0,86.41818182,4.792212289,414.1342729,2.0,2.0,0.0,31.0,54.0,1.0,212536.1852,1.916884916,2.875327373,174.95931411766574,239.17495879133088,86.41818182,BruteForce
0.07269,5.0,4.0,195.0,128.0,35.88888889,123.8134544,4443.527308,2.0,2.0,0.0,2.0,8.0,1.0,9086.25,68.78525244,55.02820195,2682.624845233182,1760.9024625120371,35.88888889,Botnet
0.138038,5.0,4.0,194.0,128.0,35.77777778,65.19943784,2332.690998,2.0,2.0,0.0,2.0,8.0,1.0,17254.75,36.22190991,28.97752793,1405.4101044639883,927.2808936669612,35.77777778,Botnet
0.063782,5.0,4.0,194.0,128.0,35.77777778,141.1056411,5048.44627,2.0,2.0,0.0,2.0,8.0,1.0,7972.75,78.39202283,62.71361826,3041.610485716973,2006.8357843905803,35.77777778,Botnet
0.247949,6.0,5.0,198.0,131.0,29.90909091,44.36396194,1326.885771,2.0,2.0,0.0,3.0,10.0,1.0,24794.9,24.1985247,20.16543725,798.5513149881629,528.3344558760067,29.90909091,Botnet
0.066667,5.0,4.0,195.0,128.0,35.88888889,134.999325,4844.975775,2.0,2.0,0.0,2.0,8.0,1.0,8333.375,74.999625,59.9997,2924.9853750731245,1919.990400048,35.88888889,Botnet
0.076071,5.0,4.0,194.0,128.0,35.77777778,118.3105257,4232.887697,2.0,2.0,0.0,2.0,8.0,1.0,9508.875,65.72806983,52.58245586,2550.249109384654,1682.6385876352356,35.77777778,Botnet
0.155178,5.0,4.0,195.0,128.0,35.88888889,57.99791208,2081.480622,2.0,2.0,0.0,2.0,8.0,1.0,19397.25,32.22106226,25.77684981,1256.621428295248,824.8591939579063,35.88888889,Botnet
0.060144,5.0,4.0,195.0,128.0,35.88888889,149.6408619,5370.444267,2.0,2.0,0.0,2.0,8.0,1.0,7518.0,83.13381218,66.50704975,3242.218675179569,2128.225591912743,35.88888889,Botnet
67.291468,210.0,105.0,48985.0,183697.0,738.6730159,4.681128371,3457.823212,2.0,2.0,0.0,202.0,314.0,1.0,214304.0382,3.120752248,1.560376124,727.9526135467873,2729.870598156664,738.6730159,Abnormal
67.936967,205.0,106.0,48783.0,183592.0,747.1864952,4.577772805,3420.450018,2.0,2.0,0.0,202.0,310.0,1.0,219151.5065,3.017502974,1.560269831,718.062671240534,2702.3873467886788,747.1864952,Abnormal
66.976121,205.0,106.0,48783.0,183586.0,747.1672026,4.643445983,3469.430545,2.0,2.0,0.0,202.0,310.0,1.0,216052.0032,3.060792368,1.582653615,728.3640687402603,2741.066476513323,747.1672026,Abnormal
119.993844,3812.0,3812.0,1752365.0,0.0,229.8485047,63.53659276,14603.79084,0.0,0.0,0.0,3812.0,7624.0,1.0,15741.02637,31.76829638,31.76829638,14603.790841136815,0.0,229.8485047,Abnormal
