Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/alerts/,89,89,29,46.64988426978535,15.236100000038277,228.1044999981532,21.0,3.0635994057770466,3.0635994057770466,29,43,57,67,100,120,160,230,230,230,230
GET,GET /api/sniffer/status,3,0,2,11.663899999499941,1.5922999955364503,30.963099998189136,75.0,0.10326739570034989,0.0,2,2,31,31,31,31,31,31,31,31,31
GET,GET /api/stats/alert-engine,20,0,2,4.038049999871873,1.3437000015983358,9.36350000120001,175.0,0.6884493046689992,0.0,3,5,8,9,9,9,9,9,9,9,9
GET,GET /api/stats/system,17,17,28,42.9276411763139,16.362100002879743,140.21580000553513,21.0,0.5851819089686493,0.5851819089686493,28,43,45,59,93,140,140,140,140,140,140
GET,GET /api/stats/training-report,12,0,3,13.67121666771709,2.0154000012553297,80.64550000563031,3157.0,0.41306958280139955,0.0,3,5,22,22,29,81,81,81,81,81,81
GET,GET /api/traffic/flows,38,0,3,11.991252631943146,1.3773999962722883,98.65500000159955,2.0,1.3080536788710986,0.0,3,7,9,13,26,86,99,99,99,99,99
GET,GET /api/traffic/stats,49,0,2,15.086477551115106,1.3491999998223037,213.9074000006076,481.0,1.6867007964390481,0.0,2,3,8,9,62,99,210,210,210,210,210
GET,GET /api/traffic/top-talkers,31,0,3,13.581241935401433,1.4727000016137026,123.15160000434844,2.0,1.0670964222369488,0.0,3,5,8,9,31,100,120,120,120,120,120
GET,GET /api/whitelist/list,13,13,31,44.3360692303171,1.25530000514118,135.6720999974641,56.38461538461539,0.4474920480348495,0.4474920480348495,31,43,74,76,120,140,140,140,140,140,140
GET,GET /health,127,0,2,8.051177952667757,1.2758000011672266,149.83729999948991,87.0,4.371653084648145,0.0,2,3,6,8,17,30,88,100,150,150,150
GET,GET /health/detailed,58,0,24,27.702972413204282,10.803299999679439,80.21670000016456,180.0,1.9965029835400978,0.0,24,26,33,39,55,66,71,80,80,80,80
GET,GET /metrics,31,0,3,8.916322581259713,1.6704000008758157,63.1269000004977,5253.935483870968,1.0670964222369488,0.0,3,5,8,10,24,34,63,63,63,63,63
POST,POST /api/whitelist/add,4,4,8,90.20782500192581,3.166100002999883,291.5248999997857,67.0,0.13768986093379984,0.13768986093379984,58,58,290,290,290,290,290,290,290,290,290
POST,POST /api/xai/explain (attack),13,13,62,73.31866153925567,57.461999997030944,121.66570000408683,127.0,0.4474920480348495,0.4474920480348495,62,71,83,85,110,120,120,120,120,120,120
POST,POST /api/xai/explain (normal),18,18,64,79.65894444350852,23.642000000108965,227.25619999982882,126.22222222222223,0.6196043742020992,0.6196043742020992,68,72,82,87,140,230,230,230,230,230,230
,Aggregated,523,154,9,24.87040573614093,1.25530000514118,291.5248999997857,491.06500956022944,18.00294931709433,5.301059645951294,9,24,30,39,69,99,130,150,290,290,290
