Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780037015,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780037016,5,,Aggregated,0.000000,0.000000,120,130,130,160,160,160,160,160,160,160,160,5,3,120,93.46996000094805,30.733500003407244,155.07739999884507,49.2
1780037017,10,,Aggregated,0.000000,0.000000,100,120,120,130,140,160,160,160,160,160,160,14,5,99,81.15249285713487,1.6032999992603436,155.07739999884507,86.71428571428571
1780037018,15,,Aggregated,5.000000,3.000000,81,100,100,120,140,140,160,160,160,160,160,25,9,81,73.51210399967385,1.3773999962722883,155.07739999884507,208.2
1780037019,20,,Aggregated,6.500000,2.500000,52,83,100,100,130,140,160,160,160,160,160,40,12,43,56.566109999403125,1.3773999962722883,155.07739999884507,372.0
1780037020,30,,Aggregated,7.666667,3.000000,25,81,100,120,140,210,230,290,290,290,290,61,16,25,58.79789344204464,1.3773999962722883,291.5248999997857,340.04918032786884
1780037021,30,,Aggregated,9.000000,3.000000,19,52,83,100,130,160,230,290,290,290,290,83,24,19,49.14851807201974,1.3773999962722883,291.5248999997857,587.9036144578313
1780037022,30,,Aggregated,11.400000,3.000000,19,43,80,99,120,160,230,290,290,290,290,100,29,17,45.42159399978118,1.3596999997389503,291.5248999997857,558.19
1780037023,30,,Aggregated,13.166667,3.666667,17,31,60,81,120,150,230,230,290,290,290,120,34,16,40.444021666432185,1.357300003292039,291.5248999997857,569.6916666666667
1780037024,30,,Aggregated,13.857143,3.857143,16,30,56,74,100,140,230,230,290,290,290,139,39,16,37.89756834487516,1.357300003292039,291.5248999997857,547.7985611510792
1780037025,30,,Aggregated,14.750000,4.250000,16,27,43,66,100,140,210,230,290,290,290,156,41,15,35.56633782015221,1.357300003292039,291.5248999997857,559.025641025641
1780037026,30,,Aggregated,14.777778,4.222222,16,28,52,71,100,130,210,230,290,290,290,180,47,15,34.87761166624195,1.357300003292039,291.5248999997857,557.8722222222223
1780037027,30,,Aggregated,15.200000,4.000000,13,27,43,66,100,120,210,230,290,290,290,199,49,13,33.55656381854121,1.357300003292039,291.5248999997857,512.8140703517588
1780037028,30,,Aggregated,17.000000,4.300000,14,27,43,61,99,120,160,230,290,290,290,216,54,13,32.73810879582689,1.3326999978744425,291.5248999997857,528.4722222222222
1780037029,30,,Aggregated,18.300000,4.400000,14,27,39,58,83,120,160,230,290,290,290,238,63,13,31.406199999581368,1.3326999978744425,291.5248999997857,501.53361344537814
1780037030,30,,Aggregated,18.800000,4.400000,14,27,42,58,88,120,150,230,290,290,290,257,70,14,31.694758365339336,1.3326999978744425,291.5248999997857,470.6420233463035
1780037031,30,,Aggregated,19.700000,5.000000,12,27,38,56,82,120,150,230,290,290,290,271,72,12,30.634890036503663,1.3117000053171068,291.5248999997857,470.1291512915129
1780037032,30,,Aggregated,19.500000,5.400000,14,27,42,58,86,110,150,230,290,290,290,292,81,13,30.92845273939219,1.3117000053171068,291.5248999997857,482.17808219178085
1780037033,30,,Aggregated,18.900000,4.900000,12,27,35,56,82,110,150,210,290,290,290,311,86,12,29.88083247555112,1.3117000053171068,291.5248999997857,487.08038585209005
1780037034,30,,Aggregated,19.100000,5.200000,14,27,35,57,81,100,150,210,290,290,290,329,94,14,29.71361884469995,1.2758000011672266,291.5248999997857,505.22492401215806
1780037035,30,,Aggregated,19.000000,5.100000,12,26,33,52,80,100,140,210,290,290,290,353,100,12,28.24777252106019,1.2758000011672266,291.5248999997857,509.74504249291783
1780037036,30,,Aggregated,19.400000,5.500000,11,26,31,43,75,100,140,210,290,290,290,377,106,11,27.169081697461877,1.2758000011672266,291.5248999997857,522.3129973474801
1780037037,30,,Aggregated,19.800000,5.900000,10,26,31,43,75,100,140,210,290,290,290,395,113,10,26.59581291133426,1.2758000011672266,291.5248999997857,516.3645569620253
1780037038,30,,Aggregated,19.400000,5.700000,11,26,31,43,74,100,140,160,290,290,290,411,120,11,26.4912184914591,1.2758000011672266,291.5248999997857,526.7907542579076
1780037039,30,,Aggregated,19.200000,6.200000,11,26,31,43,74,100,140,160,290,290,290,429,126,11,26.492873892709905,1.2758000011672266,291.5248999997857,510.2634032634033
1780037040,30,,Aggregated,19.700000,6.500000,11,26,30,43,74,100,140,160,290,290,290,447,130,11,25.872736688987434,1.2758000011672266,291.5248999997857,493.5704697986577
0.9554999996908009,259.6601999975974,406.4431818181818
